"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"531053","INDINT","DR","INDIA INTRN.MARKETIN",0.94,1,"531053",0,0,0,0,"INDIM","INDIA INTRN.MARKETIN","","","","","","","","","","",0.86,10,"INE506C01014",0.9,0.9,17.5,0.9,"","","","INDIM"
"501295","INDINV","DR","INDUSTRIAL INVESTMENT TRUST LT",179,1,"501295",0,0,0,0,"IITL","INDUSTRIAL INVESTMENT TRUST LT","","","","","","","","","","",162,10,"INE886A01014",284.95,96,287.1,12.9,"","","","IITL"
"513361","INDIST","DR","INDIA STEEL WORKS LIMITED",3.73,1,"513361",0,0,0,0,"ISWL","INDIA STEEL WORKS LIMITED","","","","","","","","","","",3.39,1,"INE072A01029",5.29,1.61,120,0.19,"","","","ISWL"
"532305","INDLAB","DR","IND-SWIFT LABORATORIES LIMITED",134.5,1,"532305",0,0,0,0,"INDSWFTLAB","IND-SWIFT LABORATORIES LIMITED","","","","","","","","","","",89.7,10,"INE915B01019",138.25,73.77,297.35,13.25,"","","","INDSWFTLAB"
"509051","INDLE","C","INDIAN INFOTECH AND SOFTWARE L",1.53,1,"509051",0,0,0,0,"INDINFO","INDIAN INFOTECH AND SOFTWARE L","","","","","","","","","","",1.39,1,"INE300B01022",2.97,1.3,43.78,0.11,"","","","INDINFO"
"500202","INDLEA","DR","INDIA LEASE DEVL LTD",10.53,1,"500202",0,0,0,0,"INDLEASE","INDIA LEASE DEVL LTD","","","","","","","","","","",8.63,10,"INE333C01013",14.3,5.21,60,2.3,"","","","INDLEASE"
"533257","INDLIM","C","INDOSOLAR LIMITED",3.37,1,"533257",0,0,0,0,"INDOSOLAR","INDOSOLAR LIMITED","","","","","","","","","","",3.05,10,"INE866K01015",7.68,2.14,30.9,0.33,"","","","INDOSOLAR"
"504746","INDLIN","C","INDIAN LINK CHAIN MNFRS LTD",210,1,"504746",0,0,0,0,"INLCM","INDIAN LINK CHAIN MNFRS LTD","","","","","","","","","","",199.5,10,"INE359D01024",217.05,106.9,217.05,5,"","","","INLCM"
"544172","INDLTD","DR","INDEGENE LTD",683.7,1,"544172",0,0,0,0,"INDGN","INDEGENE LTD","","","","","","","","","","",455.8,10,"INE065X01017",659.7,468.9,659.7,468.9,"","","","INDGN"
"542726","INDMAR","DR","INDIAMART INTERMESH LIMITED",2856.15,1,"542726",0,0,0,0,"INDIAMART","INDIAMART INTERMESH LIMITED","","","","","","","","","","",2336.85,10,"INE933S01016",3293.45,2229.05,4975.98,476,"","","","INDIAMART"
