Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
BSE,957422,1,895ABHF26,895ABHF26,F,INE831R07011,0.01,
BSE,957419,1,812IHFL25,812IHFL25,F,INE148I07IP0,0.01,
BSE,957409,1,845IIL28,845IIL28,F,INE537P08024,0.01,
BSE,957402,1,794NABAR33,794NABAR33,F,INE261F08972,0.01,
BSE,957398,1000,840ILFSL25,840ILFSL25,F,INE871D07QY3,0.01,
BSE,957393,1,775NABAR33,775NABAR33,F,INE261F08964,0.01,
BSE,957385,10,925EFCL28,925EFCL28,F,INE241O08208,0.01,
BSE,957381,10,845ICCL28,845ICCL28,F,INE244L08034,0.01,
BSE,957375,1,925JKBL24,925JKBL24,F,INE168A08046,0.01,
BSE,957360,1,105ESFBL24,105ESFBL24,F,INE818W08016,0.01,
BSE,957280,1,88IFSLPER,88IFSLPER,F,INE121H08149,0.01,
BSE,957253,1,935AFS27,935AFS27,F,INE087P08038,0.01,
BSE,957246,1,975ERFLPER,975ERFLPER,F,INE528S08050,0.01,
BSE,957237,1,774PGCIL32,774PGCIL32,F,INE752E08544,0.01,
BSE,957236,1,774PGCIL31,774PGCIL31,F,INE752E08536,0.01,
BSE,957235,1,774PGCIL30,774PGCIL30,F,INE752E08528,0.01,
BSE,957234,1,774PGCIL29,774PGCIL29,F,INE752E08510,0.01,
BSE,957233,1,774PGCIL28,774PGCIL28,F,INE752E08502,0.01,
BSE,957232,1,925ERCS27,925ERCS27,F,INE657N07431,0.01,
BSE,957228,1,875HCFSER,875HCFSER,F,INE539K08179,0.01,
BSE,957225,1,762PFCL27,762PFCL27,F,INE134E08JH2,0.01,
BSE,957223,1,825KMPL27,825KMPL27,F,INE916D08DX4,0.01,
BSE,957222,1,77REC27,77REC27,F,INE020B08AQ9,0.01,
BSE,957220,10,94AKCF24,94AKCF24,F,INE197P07169,0.01,
BSE,957209,1,975UPPCL27,975UPPCL27,F,INE540P07269,0.01,
BSE,957208,1,975UPPCL26,975UPPCL26,F,INE540P07251,0.01,
BSE,957207,1,975UPPCL25,975UPPCL25,F,INE540P07244,0.01,
BSE,957206,1,975UPPCL24,975UPPCL24,F,INE540P07236,0.01,
BSE,957197,1,78NABARD32,78NABARD32,F,INE261F08949,0.01,
BSE,957196,10,845ICCL27A,845ICCL27A,F,INE244L08026,0.01,
BSE,957192,2,12MFLPERA,12MFLPERA,F,INE549K08152,0.01,
BSE,957189,10,95SIBL28,95SIBL28,F,INE683A08036,0.01,
BSE,957187,2,12MFLPER,12MFLPER,F,INE549K08145,0.01,
BSE,957186,1,765PFCL27,765PFCL27,F,INE134E08JG4,0.01,
BSE,957180,1,764NHAI32,764NHAI32,F,INE906B08021,0.01,
BSE,957179,1,2EARCL27F,2EARCL27F,F,INE015L07568,0.01,
BSE,957173,10,845ICCL27,845ICCL27,F,INE244L08018,0.01,
BSE,957172,1,81HCFSL27,81HCFSL27,F,INE539K08161,0.01,
BSE,957170,1,768NEEPC25,768NEEPC25,F,INE636F07225,0.01,
BSE,957166,1,799TPCL24,799TPCL24,F,INE245A08133,0.01,
BSE,957144,1,754IRFC27,754IRFC27,F,INE053F07AD1,0.01,
BSE,957135,1,84MBEL30,84MBEL30,F,INE835H07146,0.01,
BSE,957134,1,84MBEL29,84MBEL29,F,INE835H07138,0.01,
BSE,957133,1,84MBEL28,84MBEL28,F,INE835H07120,0.01,
BSE,957132,1,84MBEL27,84MBEL27,F,INE835H07112,0.01,
BSE,957131,1,84MBEL26,84MBEL26,F,INE835H07104,0.01,
BSE,957130,1,84MBEL25,84MBEL25,F,INE835H07096,0.01,
BSE,957129,1,84MBEL24,84MBEL24,F,INE835H07088,0.01,
BSE,957121,1000,788ILFSL24,788ILFSL24,F,INE871D07QS5,0.01,
BSE,957109,1,765APSEZ27,765APSEZ27,F,INE742F07437,0.01,
BSE,957102,1,95TBVFL24,95TBVFL24,F,INE502K07120,0.01,
BSE,957093,10,EIPPZC27,EIPPZC27,F,INE368Y08018,0.01,
BSE,957090,1,923RCFL27,923RCFL27,F,INE126D07073,0.01,
BSE,957083,1,925ERFL27A,925ERFL27A,F,INE528S08043,0.01,
BSE,957077,1,891FEL24A,891FEL24A,F,INE623B07610,0.01,
BSE,957073,1,820SFL27,820SFL27,F,INE721A08CY4,0.01,
BSE,957067,1,747IWAI27,747IWAI27,F,INE896W08020,0.01,
BSE,957052,1,746BFL24,746BFL24,F,INE296A07QD3,0.01,
